variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-17	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-17	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-17	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_11186_S89540	2021-06-02	0.99607
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-02	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-02	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-02	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-02	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-02	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_11392_S90327	2021-06-08	0.538146216064429
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-08	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-08	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-08	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-06-08	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_11392_S90327	2021-06-08	0.461847994117545
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-13	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-13	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-13	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-13	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-13	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_13196_S93191	2021-07-13	0.99686
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-27	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-27	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-27	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-27	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-07-27	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_13968_S94025	2021-07-27	0.98533
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-03	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-03	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-03	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-03	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-03	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14388_S95081	2021-08-03	0.98946
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-10	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-10	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-10	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-10	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-10	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_14790_S95712	2021-08-10	0.99486
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-24	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-24	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-24	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-24	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-24	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_15333_S96494	2021-08-24	0.99532
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-31	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-31	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-31	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-31	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-08-31	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_15914_S97146	2021-08-31	0.99589
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-07	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-07	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-07	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-07	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-07	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_16279_S97430	2021-09-07	0.99624
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-14	0
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-14	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-14	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-14	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-09-14	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_16429_S98033	2021-09-14	0.99653
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3070_S75343	2020-12-29	0.363278783700425
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3070_S75343	2020-12-29	0.636713959142204
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.621	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
R.1	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2020-12-29	0
B.1.1.7	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
B.1.160	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3071_S75396	2021-01-03	0.420934117332621
B.1.177.86	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3071_S75396	2021-01-03	0.18724442068689
B.1.258.17	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_3071_S75396	2021-01-03	0.391814780168382
B.1.351	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
B.1.525	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage		2021-01-03	0
