BSF_run	BSF_sample_name	BSF_start_date	LocationID	LocationName	N_in_Consensus	RNA_ID_int	additional_information	adress_town	state	connected_people	dcpLatitude	dcpLongitude	include_in_report	report_category	sample_date	status
BSF_1306	CoV_34162_S127994	2022-12-05	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	520	CoV_34162		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-22	pass
BSF_1306	CoV_34165_S127995	2022-12-05	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	490	CoV_34165		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-22	pass
BSF_1306	CoV_34191_S127956	2022-12-05	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_34191		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-27	pass
BSF_1306	CoV_34195_S127960	2022-12-05	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	2301	CoV_34195		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-27	pass
BSF_1306	CoV_34200_S127967	2022-12-05	ATTP_8-Bregenz	Bregenz	520	CoV_34200		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-11-27	pass
BSF_1308	CoV_34224_S128203	2022-12-09	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	520	CoV_34224		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-29	pass
BSF_1308	CoV_34227_S128204	2022-12-09	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	491	CoV_34227		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-29	pass
BSF_1308	CoV_34251_S128231	2022-12-09	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	2300	CoV_34251		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-12-04	pass
BSF_1308	CoV_34254_S128232	2022-12-09	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	555	CoV_34254		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-12-04	pass
BSF_1308	CoV_34259_S128239	2022-12-09	ATTP_8-Bregenz	Bregenz	519	CoV_34259		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-12-04	pass
BSF_1314	CoV_34288_S128748	2022-12-16	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	491	CoV_34288		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-12-06	pass
BSF_1314	CoV_34302_S128762	2022-12-16	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	490	CoV_34302		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-12-11	pass
BSF_1314	CoV_34306_S128766	2022-12-16	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	149	CoV_34306		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-12-11	pass
BSF_1314	CoV_34311_S128773	2022-12-16	ATTP_8-Bregenz	Bregenz	520	CoV_34311		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-12-11	pass
