group	variants	groupName	groupMembers
8	B.1.160	B.1.160	B.1.160:B.1.465
8	B.1.465	B.1.160	B.1.160:B.1.465
9	B.1.177	B.1.177	B.1.177:B.1.177.43:B.1.177.81:B.1.177.86
9	B.1.177.43	B.1.177	B.1.177:B.1.177.43:B.1.177.81:B.1.177.86
9	B.1.177.81	B.1.177	B.1.177:B.1.177.43:B.1.177.81:B.1.177.86
9	B.1.177.86	B.1.177	B.1.177:B.1.177.43:B.1.177.81:B.1.177.86
10	B.1.258	B.1.258	B.1.258:B.1.258.17
10	B.1.258.17	B.1.258	B.1.258:B.1.258.17
11	B.1.351	B.1.351	B.1.351
12	B.1.427	B.1.427	B.1.427:B.1.429
12	B.1.429	B.1.427	B.1.427:B.1.429
13	B.1.525	B.1.525	B.1.525
14	B.1.526	B.1.526	B.1.526
15	B.1.621	B.1.621	B.1.621:B.1.621.1
15	B.1.621.1	B.1.621	B.1.621:B.1.621.1
16	BA.1	BA.1	BA.1:BA.1.1
16	BA.1.1	BA.1	BA.1:BA.1.1
17	BA.2	BA.2	BA.2:BA.3
17	BA.3	BA.2	BA.2:BA.3
18	C.35	C.35	C.35:C.36.3
18	C.36.3	C.35	C.35:C.36.3
19	C.37	C.37	C.37
20	P.1	P.1	P.1
21	P.2	P.2	P.2
22	R.1	R.1	R.1
